TCGA-OR-A5JM-01A	TCGA-OR-A5KT-01A	TCGA-PA-A5YG-01A	TCGA-FD-A62S-01A	TCGA-BT-A20P-01A	TCGA-E7-A7DU-01A	TCGA-XF-AAMX-01A	TCGA-XF-A9SW-01A	TCGA-DK-A2I2-01A	TCGA-OL-A5RY-01A	TCGA-E9-A1RB-01A	TCGA-D8-A1JM-01A	TCGA-A2-A259-01A	TCGA-C8-A1HG-01A	TCGA-AR-A1AL-01A	TCGA-D8-A1XV-01A	TCGA-A1-A0SE-01A	TCGA-A2-A4RX-01A	TCGA-E9-A1N4-01A	TCGA-AC-A23E-01A	TCGA-C5-A1BM-01A	TCGA-MU-A8JM-01A	TCGA-4J-AA1J-01A	TCGA-LP-A5U3-01A	TCGA-ZU-A8S4-01A	TCGA-F4-6806-01A	TCGA-DM-A28G-01A	TCGA-D5-6931-01A	TCGA-F4-6570-01A	TCGA-SS-A7HO-01A	TCGA-AA-3488-01A	TCGA-L5-A43C-01A	TCGA-06-5411-01A	TCGA-06-5856-01A	TCGA-QK-A8ZB-01A	TCGA-CN-6997-01A	TCGA-BA-A6DB-01A	TCGA-CR-5243-01A	TCGA-P3-A5QF-01A	TCGA-BA-6869-01A	TCGA-KL-8342-01A	TCGA-KO-8415-01A	TCGA-DV-5568-01A	TCGA-EU-5905-01A	TCGA-CZ-5984-01A	TCGA-B0-4713-01A	TCGA-B1-A47M-01A	TCGA-G7-6793-01A	TCGA-GL-6846-01A	TCGA-P4-AAVL-01A	TCGA-A4-8518-01A	TCGA-AB-2900-03A	TCGA-HT-7692-01A	TCGA-P5-A5F4-01A	TCGA-DD-A4NI-01A	TCGA-WX-AA44-01A	TCGA-CC-A8HS-01A	TCGA-DD-AAE4-01A	TCGA-UB-A7MA-01A	TCGA-49-6761-01A	TCGA-69-7763-01A	TCGA-97-A4M7-01A	TCGA-93-A4JQ-01A	TCGA-53-7626-01A	TCGA-05-4396-01A	TCGA-85-8288-01A	TCGA-90-7766-01A	TCGA-85-8276-01A	TCGA-3U-A98E-01A	TCGA-LK-A4O2-01A	TCGA-HZ-8005-01A	TCGA-IB-AAUU-01A	TCGA-IB-7889-01A	TCGA-SP-A6QF-01A	TCGA-QT-A5XP-01A	TCGA-RW-A68D-01A	TCGA-HC-8259-01A	TCGA-EJ-5507-01A	TCGA-V1-A8WV-01A	TCGA-HC-A6AS-01A	TCGA-EJ-5495-01A	TCGA-AG-3591-01A	TCGA-DX-A6BF-01A	TCGA-EB-A3Y7-01A	TCGA-EB-A5VU-01A	TCGA-D7-6519-01A	TCGA-EQ-8122-01A	TCGA-XE-A8H4-01A	TCGA-ET-A40P-01A	TCGA-DJ-A1QF-01A	TCGA-DJ-A2QC-01A	TCGA-EM-A22K-01A	TCGA-4X-A9FA-01A	TCGA-XM-AAZ3-01A	TCGA-B5-A11N-01A	TCGA-BG-A0MA-01A	TCGA-EY-A3L3-01A	TCGA-H5-A2HR-01A	TCGA-E6-A2P9-01A	TCGA-V4-A9EE-01A
ABCC1	4.18050536168827	4.23942026501074	4.24451434226953	4.22644526568866	4.2749299222682	4.2300684133633	4.25475219684385	4.19132907155398	4.27279720108589	4.20508312274198	4.28375764948538	4.23000240505054	4.33726737672036	4.23453125758596	4.20628481978801	4.10540304570901	4.22457574445614	4.26364112151248	4.14902056022414	4.24019491699095	4.23303867940227	4.27047522804061	4.22335686375008	4.20593347636199	4.26346438072443	4.26120633418676	4.23436145304505	4.2538561836888	4.2114634869612	4.27580996467014	4.27604735580312	4.28621098115128	4.01041653439638	4.09021184213605	4.34239911539363	4.46502639454015	4.25807779980752	4.2764720648753	4.17330658681531	4.37019397429543	4.13877003689142	4.18405702945332	4.26084135267981	4.27624375278991	4.23761213130446	4.19757067307749	4.24016454744217	4.38065933037672	4.2183256522829	4.14024132150318	4.23912254756957	4.33978565249234	4.07770615126441	4.06542655560809	4.01308810687848	4.19234574475753	4.00633724001881	3.98564184718635	4.21660413533627	4.2006558401995	4.24525202432391	4.27042011666694	4.29754286451675	4.26117859822269	4.1246435752883	4.37750324948363	4.33909374144193	4.35773337489398	4.2185307139858	4.31672887422681	4.26532924625312	4.2919090061357	4.23784268241299	4.1782430632644	4.18485952778935	4.21298613690553	4.28175774221642	4.25375594424687	4.29663080352292	4.20299904490167	4.29339901420807	4.2054601905353	4.19204249211701	4.24083043710776	4.21813148593768	4.30980669200311	4.25241472402285	4.21988350961699	4.19842538342504	4.22054415943081	4.13585821978077	4.18790276161744	4.13751436846022	4.06292501555825	4.22230389644349	4.26621343017552	4.26978605969856	4.24815706380472	4.29693049155678	4.23284286190969
FREM2	4.29756728527886	3.90677263533705	0	3.41603413501612	3.63093847330911	3.69720797956631	4.10816514263861	3.7201381982523	3.44750904318538	3.44943054731911	3.82917982727811	3.20748332197636	4.05595872714965	3.38201501856018	3.45537570058745	3.02324827129986	3.65433562280202	3.9139254945967	3.02417357112619	3.41178230204006	3.11002788985747	0	3.30264773735887	2.94922631675276	3.73334639437477	3.91983723882937	3.93366334549328	3.40730745629274	3.33949566501077	4.12269987658441	3.85904757714683	3.40233340037253	3.86012902800428	4.07546046849694	3.34836636390417	3.46123253023439	3.72313318487648	3.00226124253266	2.91868087736373	3.0456795658872	3.56656061902874	3.70818939445071	3.85626793285174	3.87625734421474	4.05181357366705	3.98388322004453	4.01870571123099	3.91312377699343	4.2088370695641	4.02145749036107	4.15622420442953	2.74221822250948	3.81404794043941	3.80026604174866	3.16436323560165	3.8379602563703	3.15419860807477	3.30565664619906	3.21186392040363	3.73896929806715	3.85795980868715	3.92608111751021	3.92635338733191	3.92195302098658	4.20900480070896	3.20917355529043	3.33874292663319	3.97846935135252	2.64317717400654	0	3.42153709372102	3.88672740083078	3.86651939504268	0	2.93849900472507	3.66881212028988	3.79210708315316	3.75460832783998	3.93784610807233	3.72833048849671	4.01401002876576	3.28984393252549	3.18208482786659	3.18517532030042	3.91280831265074	3.95528520265697	3.54332968113219	3.86406910032733	4.04468980590153	4.03603341811094	3.88835578495934	4.11990854303562	3.79252698269073	3.7132313886296	3.95824905247447	4.10322760733432	3.93658451004904	3.58296487477226	3.98676654952745	3.58606268671749
FUT4	4.03265274759472	3.95488996860881	3.91354948567169	4.07913908681257	3.87585010111849	3.69101782445713	4.10741136839205	4.02924598083502	4.0051931975984	4.03036562743546	3.97977717857067	4.18577445120841	3.97908569303453	3.88274771078548	3.92832928977837	3.96752427542966	3.88461698663745	3.96986600256184	4.00307101662492	3.93444024265649	3.92596907281689	4.00557831253565	4.03731204880143	3.84099998344839	4.13590533774278	4.2321616874078	4.24113719707491	4.32785428210046	4.2711234886332	4.26331034676112	4.24105779421565	4.31640219249338	3.92281535759276	3.89588196671383	4.00137088955868	3.90473866466784	3.95470302774497	3.98422409779297	3.82935812399623	4.02940056356583	3.91864927776102	3.96328593466205	4.09482687374116	4.10155518435682	4.06799487460551	3.99203729008417	4.08853221337675	3.75280753451961	4.02407538073126	4.01020481390163	4.01213173448854	4.37554017563063	3.88498669134863	3.89847100388197	3.98989449019615	4.00219393857725	3.96945367946283	3.8762035739856	4.27790395927841	4.05277962720367	4.01591374692363	4.06948506602403	4.11750248345215	4.00320902793732	4.12251177595551	4.10581808183994	3.99348288898618	3.96856633025062	3.90733080866556	3.97283387820334	4.12908706109183	4.19296368256853	4.14196852917087	3.84057213368076	3.93470388349192	3.93991814197142	3.99367634424378	3.95382532817967	3.92276737142463	3.9543720992768	4.02574914701667	4.16953147887558	4.05802600455863	3.88840499078789	4.00166059745382	4.20173510467964	4.23805080809317	4.1592006077472	3.92242030973796	3.87675199962285	3.90766095001421	3.91303179302958	4.08902405471076	4.09608966729411	4.03404881271713	3.86932483296153	3.85531542456237	3.95755090689024	3.98035441158972	3.93948060240259
OR10H1	0	0	0	0	4.03432570555792	3.71634628719251	3.90112416110515	0	3.43385556918757	0	3.1503039854205	0	3.47327060457653	3.3880785402259	0	0	3.35818894780806	3.34561327510881	0	0	3.219192969874	3.83656291590001	3.89118301712652	3.53130790510609	3.31108447898694	0	3.27938227422459	0	0	3.27299008508509	0	0	3.23438924101988	3.24794726549617	3.61200310144912	3.3983061160953	0	0	0	0	0	0	0	0	3.20679020086187	0	0	0	0	0	0	0	3.23582342794245	3.2730879575796	0	0	3.31372319979032	0	0	3.63032115560103	0	0	3.39264463549014	3.1758278082551	0	0	3.34498854390221	3.45455318068015	0	0	3.27945756866675	3.40606145360408	3.835598555951	3.38607359334257	0	0	3.82312834763507	3.43789003249719	3.5247998731037	3.78218213479103	3.19978411290247	3.57632937299963	0	0	0	3.3603516348118	3.3007095427668	0	0	0	0	0	0	0	3.49598751826749	0	0	0	0	0
OR1J1	0	0	0	3.55879329141377	3.44630382574314	0	0	0	0	3.34092046589924	0	0	3.2208406434304	3.41724321391004	3.3773142941672	0	3.24341155323919	3.58047990641713	3.40696722408326	0	3.25188651563273	3.31008942586377	0	0	0	0	3.57540528770879	0	0	3.60875442490196	0	3.46637281303307	0	3.28001409169744	3.23949834763629	3.60543256007466	3.50056429746364	0	0	0	3.53499958027768	0	0	0	3.38464157573414	3.51517258063019	0	0	0	3.41724321391004	0	0	3.48757145958911	0	0	0	3.64118340453897	0	3.50173160123891	0	0	0	3.64642883227913	0	0	0	3.45405624296876	3.34738029000744	3.68474160415826	0	0	3.2951244232631	0	0	3.42209432716126	0	0	3.51923077663123	3.34206422010629	0	0	0	0	0	3.39578981698098	3.24575042648513	3.18115506073164	3.68357445915032	3.2885294302393	0	0	0	0	3.31541314246215	0	3.57528246008697	0	3.62622848422349	0	0
RPL38	4.40505752018964	4.49996509628163	4.45501761657696	4.37589756047324	4.52670954423102	4.51587117846121	4.43937015901313	4.51001061868243	4.49579102960883	4.49393741261854	4.45510205162262	4.43374859325374	4.40153208208562	4.5066416173709	4.39373291975395	4.43046252349536	4.44259568787326	4.37308867902066	4.43805632094664	4.43168772456631	4.42614736324765	4.44331247516375	4.36777365579727	4.43027754430075	4.45038493342547	4.46523150543909	4.50023556773268	4.45242514806348	4.42523584269521	4.48017664888737	4.53929002897229	4.49566970565342	4.45250895346899	4.43351736889143	4.44701934364678	4.42384200756081	4.48770706482526	4.34070200379104	4.43993356737725	4.4511616090924	4.40980560633964	4.42731541201777	4.50245814833328	4.4833039557155	4.43986617717397	4.45882379702648	4.49438799316792	4.46209509944392	4.42471646953366	4.54183065985494	4.46426328853611	4.45193477064379	4.4465897359308	4.4162815311379	4.45221111417312	4.47564666077752	4.46315610920076	4.58367605508804	4.5403260357037	4.5264509902511	4.46377955715975	4.38783785304481	4.43726490031311	4.44292055913882	4.33898657771015	4.41509501208614	4.38064362603823	4.44139507032491	4.50009938417405	4.47037220486223	4.44164384107137	4.40201581951641	4.51307906567934	4.49487021609086	4.44856161639969	4.46199837822711	4.45657163028526	4.36989192530639	4.48692877951916	4.55343720437307	4.43443977854067	4.55058343552282	4.6132563169185	4.50030445639397	4.46311727813409	4.50280654797433	4.51923542149882	4.53137357150053	4.49190942425388	4.41396750310104	4.51803309670691	4.41230030768886	4.54670542853687	4.48982688777806	4.43093947252256	4.50347396775502	4.50913393796082	4.6565918925329	4.47373308321402	4.48614013797922
SERPINB12	0	0	3.65701366781065	3.50909210073626	0	0	3.59969936267542	0	3.26656405115701	3.28303508813018	0	3.56070806548997	0	3.36236153186316	0	0	3.46835665983438	4.00395295512191	0	0	4.58531380693001	3.68238161898963	3.95095403031664	3.22959514036964	0	0	3.25166262548939	0	0	0	0	0	0	0	4.36718807397073	3.64067661793043	4.00423264608268	3.86850186710311	3.77768108998207	3.99885149987175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05072187551362	3.69752007031736	4.34660824443818	0	0	3.39549806597572	0	3.23192984194362	0	0	0	3.196320336559	0	3.42497064775455	0	3.50093810234101	0	0	3.55548144821056	4.27668979526612	3.54450699024389	0	3.90427740464042	0	0	0	0	3.52373255054622	0	0	0	0	0	0	0
SUSD3	0	4.06481005117274	4.05483186690233	4.14792788060961	3.87642829959101	3.84340542601609	4.01881393263877	4.13560109146744	4.16066416165564	4.22710974385504	4.46060794266445	3.99771165641904	4.50193008130978	4.42952571718018	4.46544634758227	4.46449883861696	4.45085541096069	4.09967965763352	4.36415780271188	4.42213653384165	4.11012950192496	4.04122322103466	4.05216533530341	4.11994653784914	4.12320081498567	4.02088650103627	4.1450716670593	3.99531184732271	4.09279308645907	4.3052170599251	4.14585612298251	4.13588893418959	4.14520080769813	4.12910724312471	3.95885539430993	4.03329644513062	4.18143506107487	4.13105961762126	3.87228239793301	4.00038771460563	4.3727271288815	4.26045023718424	4.19875820865873	4.20977731029542	4.16702209358822	4.14978318529955	4.18317400021254	3.88333998471415	4.16930126941098	4.12076612458694	4.23380279199547	4.10466349207491	3.99154077114855	4.1145279629477	4.36166885581461	4.35350491127001	4.21310909627985	4.31654176081742	3.93560212540799	4.15676772869251	4.06507888098024	4.17624051157999	4.2162386764221	4.16786605972955	3.94499640095973	4.04094310658749	4.10184510732282	4.14666209013126	4.418360488534	4.2793991803424	4.03419540536299	3.99585015740875	4.18158624552329	3.9205263562266	3.82196375056461	3.72880540340016	3.8716194500411	3.95021866657087	4.06162489418218	4.06850803561684	4.0013598207642	4.08399178818106	4.24514536797821	3.80694683431578	3.99179742705762	4.02844205888299	4.02393534682181	4.4192351970499	4.23013495408278	4.06103876302986	4.25141625552376	4.12508120676188	4.2016376933299	4.23419871671312	4.17984157852881	4.01093422874674	4.12149462111764	4.40510371527325	4.03736305508233	3.93223864696264
TCEANC2	3.92881852153508	3.95954547337491	3.88692464083788	3.93811693003024	3.93837730020444	4.01902960020537	3.910133604644	3.95936106548177	3.98921868636802	3.95047311734264	3.98543859615746	3.93063056942503	3.97352276968838	3.98653499154125	3.95081405433207	3.9763225006423	3.99942314463288	4.01487499918018	3.99355868058361	3.97997422612333	4.00918163087369	3.9107391995649	3.98724415121632	3.98226019764055	3.9575464982339	3.99471135802551	4.00476819584724	3.93918534329062	3.9532173825821	3.98615311159646	3.92463445156006	3.95285373363821	3.96368104130151	4.00804276608153	3.9185209473742	3.89747225711533	3.95993571076416	4.02034621982197	4.00102622528598	3.90105165958811	3.88535059492195	3.89423568958912	3.92472473155374	3.92906589336636	3.96767408866448	3.91069953607361	3.94528343860925	3.94735038057539	3.98850923047562	3.9182601996744	3.94862155398306	4.12424130746802	3.95547851291956	3.98196715696463	3.91588336955555	3.93501075961478	3.92480350187651	3.89696287887737	3.97632006107514	3.95143292454746	3.96127990649034	3.96779205096101	3.97704319675475	3.94113572477519	3.88299482598682	3.98060787361156	4.033542578367	3.96612980921505	3.9685137122016	3.91416549783285	3.93025711712928	3.889216685554	3.95129958270647	3.807914943919	3.81993433180165	3.97641003919972	3.94785652789484	3.9938645197525	3.91602847908367	3.86085256371945	3.96680277429646	4.02642917024667	4.01167655959558	4.01015614767176	3.99513134784881	3.90607367165877	3.95255296215854	3.99994322744978	3.89524468080376	3.99115702880569	3.93601824561298	3.97497391986621	3.95061211199992	3.92308210524731	3.95250060359731	4.01000131927932	4.03144890889099	3.99421749339965	3.96911935404818	3.89702588838514
TOR1A	4.29278280928623	4.3053001934511	4.26818234298324	4.29316029266096	4.18265759111175	4.20211764713804	4.21868070867491	4.27975573516611	4.28259732760656	4.27692848317237	4.35717370511159	4.30199246646719	4.24462219942182	4.31140332650736	4.24772197926055	4.27122975204804	4.26365161828066	4.2411906110048	4.27101868466683	4.28090999586827	4.24764423440313	4.26706738452953	4.21943720161021	4.25223134288431	4.31930155665621	4.26370979040072	4.24452260858262	4.23813907481823	4.21228935898124	4.2330440438037	4.32094995642444	4.24234728015368	4.29006509656428	4.27281434831265	4.18267442187602	4.26217752758445	4.2389479009892	4.21451121124568	4.24631764990968	4.24486399924677	4.25821474269819	4.19926582097748	4.27077090453415	4.22692667208729	4.21933401992019	4.23739820220713	4.25755105604629	4.24695330309231	4.23766977855619	4.19887339078709	4.2537885417685	4.29297400855204	4.18652263045271	4.22437479873765	4.27701403120984	4.24294749872682	4.25639547117543	4.30801731303947	4.29600478700785	4.2474491979596	4.24319083867007	4.20666420447298	4.25150522880078	4.25504457887971	4.26412471223103	4.19840193605241	4.17113211320003	4.22314972412752	4.24900588907621	4.28684387032133	4.22187016285315	4.22620995439796	4.26975884751683	4.27700361605041	4.26127878718583	4.2699361446312	4.25882577998423	4.27393683634426	4.29481543794026	4.28688904637728	4.27575034805342	4.26490707879261	4.315906522084	4.26650461527705	4.25459072553678	4.20654690915353	4.21466506396317	4.2295023206928	4.27703939085176	4.22071877831498	4.23689626527751	4.24537916248535	4.24883964542301	4.24132029030181	4.24054821306345	4.24588913999451	4.2993421193164	4.30513591954847	4.24181231128384	4.20455755837729
