TCGA-OR-A5JM-01A	TCGA-OR-A5KT-01A	TCGA-PA-A5YG-01A	TCGA-FD-A62S-01A	TCGA-BT-A20P-01A	TCGA-E7-A7DU-01A	TCGA-XF-AAMX-01A	TCGA-XF-A9SW-01A	TCGA-DK-A2I2-01A	TCGA-OL-A5RY-01A	TCGA-E9-A1RB-01A	TCGA-D8-A1JM-01A	TCGA-A2-A259-01A	TCGA-C8-A1HG-01A	TCGA-AR-A1AL-01A	TCGA-D8-A1XV-01A	TCGA-A1-A0SE-01A	TCGA-A2-A4RX-01A	TCGA-E9-A1N4-01A	TCGA-AC-A23E-01A	TCGA-C5-A1BM-01A	TCGA-MU-A8JM-01A	TCGA-4J-AA1J-01A	TCGA-LP-A5U3-01A	TCGA-ZU-A8S4-01A	TCGA-F4-6806-01A	TCGA-DM-A28G-01A	TCGA-D5-6931-01A	TCGA-F4-6570-01A	TCGA-SS-A7HO-01A	TCGA-AA-3488-01A	TCGA-L5-A43C-01A	TCGA-06-5411-01A	TCGA-06-5856-01A	TCGA-QK-A8ZB-01A	TCGA-CN-6997-01A	TCGA-BA-A6DB-01A	TCGA-CR-5243-01A	TCGA-P3-A5QF-01A	TCGA-BA-6869-01A	TCGA-KL-8342-01A	TCGA-KO-8415-01A	TCGA-DV-5568-01A	TCGA-EU-5905-01A	TCGA-CZ-5984-01A	TCGA-B0-4713-01A	TCGA-B1-A47M-01A	TCGA-G7-6793-01A	TCGA-GL-6846-01A	TCGA-P4-AAVL-01A	TCGA-A4-8518-01A	TCGA-AB-2900-03A	TCGA-HT-7692-01A	TCGA-P5-A5F4-01A	TCGA-DD-A4NI-01A	TCGA-WX-AA44-01A	TCGA-CC-A8HS-01A	TCGA-DD-AAE4-01A	TCGA-UB-A7MA-01A	TCGA-49-6761-01A	TCGA-69-7763-01A	TCGA-97-A4M7-01A	TCGA-93-A4JQ-01A	TCGA-53-7626-01A	TCGA-05-4396-01A	TCGA-85-8288-01A	TCGA-90-7766-01A	TCGA-85-8276-01A	TCGA-3U-A98E-01A	TCGA-LK-A4O2-01A	TCGA-HZ-8005-01A	TCGA-IB-AAUU-01A	TCGA-IB-7889-01A	TCGA-SP-A6QF-01A	TCGA-QT-A5XP-01A	TCGA-RW-A68D-01A	TCGA-HC-8259-01A	TCGA-EJ-5507-01A	TCGA-V1-A8WV-01A	TCGA-HC-A6AS-01A	TCGA-EJ-5495-01A	TCGA-AG-3591-01A	TCGA-DX-A6BF-01A	TCGA-EB-A3Y7-01A	TCGA-EB-A5VU-01A	TCGA-D7-6519-01A	TCGA-EQ-8122-01A	TCGA-XE-A8H4-01A	TCGA-ET-A40P-01A	TCGA-DJ-A1QF-01A	TCGA-DJ-A2QC-01A	TCGA-EM-A22K-01A	TCGA-4X-A9FA-01A	TCGA-XM-AAZ3-01A	TCGA-B5-A11N-01A	TCGA-BG-A0MA-01A	TCGA-EY-A3L3-01A	TCGA-H5-A2HR-01A	TCGA-E6-A2P9-01A	TCGA-V4-A9EE-01A
cg00019118	0.840136111386284	0.774643655124302	0.534320479099253	0.473798967071079	0.204410109939019	0.430962523438149	0.0947218533133559	0.739992647354819	0.556792417071273	0.733970228888621	0.613488258236374	0.821043709271041	0.777821101469828	0.509821188986706	0.592493719150539	0.301527178715012	0.544738851476148	0.656165282099311	0.569078121468714	0.544530563357623	0.389203918351348	0.761092529437856	0.551444012625019	0.805467596840558	0.767793242008183	0.407281278506951	0.344717998147317	0.354894869805275	0.845746009242698	0.376571768006401	0.116880523748639	0.532566735699527	0.551305472119414	0.686434056283656	0.523675307607923	0.223064061116456	0.691034144122986	0.244656514020358	0.591069426989724	0.411912670902297	0.8918831225064	0.831455129555184	0.735412869323229	0.856315420129901	0.818062210164661	0.731401863138195	0.740004312837508	0.859308521787184	0.906102342928181	0.83358434192097	0.802308176819932	0.747815673650949	0.859581044516264	0.832832526804678	0.658079051009471	0.809105234612799	0.214045995433199	0.318824896457173	0.281023135462777	0.696618271488023	0.527213700203507	0.604331449786699	0.604681969070667	0.734622389279992	0.528413777138066	0.607381673329853	0.626779707691335	0.495782842636733	0.808735505087468	0.845032182727954	0.550113706437173	0.559588855435999	0.739056109377036	0.58261981024935	0.485492162775232	0.807084799106187	0.699718058469008	0.373681873838681	0.355104824813811	0.648065287581713	0.55373493575419	0.137927118354389	0.392556649496705	0.634716430867307	0.222624130938429	0.712418383479068	0.402943158562471	0.473464738414803	0.855865035063129	0.865624504193154	0.912889566021385	0.920951652473776	0.315393024108154	0.263967329781376	0.647197132256577	0.251776895506673	0.0815367817512136	0.695216984501923	0.227616328735803	0.806769199953939
cg00021513	0.124268622567036	0.376317773097015	0.35628032956581	0.572386012909884	0.615883192025421	0.189529021885408	0.476796342005311	0.67996491451476	0.521179818466918	0.684316529412948	0.838006300365044	0.821331656662929	0.803225273600858	0.677757628470397	0.768293705368339	0.861791879943892	0.709036415220664	0.756381227197532	0.748195031652267	0.733437613173318	0.596682004444441	0.793131958425189	0.592285879474287	0.778451735687491	0.767003864290898	0.592681911741085	0.435366949679386	0.545096693219178	0.692383357938142	0.706250810699285	0.751029965088531	0.597537288451888	0.413649599355312	0.495932697752061	0.624030990382592	0.772383894537595	0.707607083722854	0.733053644295109	0.387279355351817	0.405534215697332	0.501643659266249	0.473535697739496	0.611092251881173	0.786752136170777	0.387000493764063	0.453508742722198	0.43512095160442	0.794146378702951	0.858614122038111	0.511273976002807	0.703904938627698	0.861762316709352	0.822953174012077	0.79434237203256	0.682041141879078	0.72576737849703	0.726611021425619	0.541072457912664	0.723594769633034	0.758529924395345	0.679781870882179	0.719607388105259	0.657673704141609	0.699136333891139	0.43550027746213	0.72366054351643	0.484546318910795	0.529386229962892	0.662544345892253	0.786872141518507	0.504155023962158	0.663923104910587	0.473149700651531	0.793346678934952	0.74509758219822	0.735426425196107	0.765691652226783	0.675777821980964	0.385234053562126	0.633239113510642	0.703274783506051	0.520156461597468	0.73955297840628	0.825722504861382	0.660797825295093	0.512103251382627	0.546702170256502	0.524014794736379	0.796977128501347	0.831961467376925	0.847118219594234	0.827543502824878	0.74519336790189	0.78440378026788	0.755370311821675	0.352213457147166	0.862514143173209	0.786852248015164	0.460961237708823	0.747943814890609
cg00102591	0.0202847287610546	0.0185912866046463	0.0197345314820545	0.0144537586479376	0.0282771328538528	0.0182168751597553	0.0266067699931974	0.0167473318875394	0.0262043335860302	0.0188341186187483	0.022747398439911	0.0225573599842155	0.0176630186385818	0.0173007934073627	0.0190612706545744	0.0149580868495183	0.018661797431245	0.0226649132835197	0.0163573055380998	0.0199516015729402	0.025186524137451	0.023810107863981	0.0251265408465961	0.0198837083369419	0.0231443655365269	0.0249931025880936	0.0205914402894053	0.0221755689995135	0.05422877191963	0.0219898550954754	0.0197402461464106	0.0211900655763664	0.0170987436121152	0.0172398149131078	0.0195572635444545	0.0211379405691255	0.0173740305909992	0.0268494653972167	0.0179374246389855	0.0250765677271641	0.0190030885822803	0.018519739324057	0.0222789117285172	0.0265647187991199	0.0250386827204177	0.0192568430562308	0.0156506019191327	0.0242064851143311	0.020634494329442	0.023289862168109	0.0219748628785327	0.024695416777674	0.0221901060891579	0.0176645122248423	0.0173379432498292	0.0203554259382914	0.0192778751635956	0.0199857865592777	0.0244679027249718	0.051669917068282	0.0365510652299842	0.0377111706321247	0.0368264779616231	0.0419642615956076	0.0631269171308782	0.021939087280048	0.0198380850762077	0.024478821438454	0.0227856499394691	0.023324162109098	0.0244060110519746	0.0253560052129546	0.0270406470930556	0.0236795719119473	0.0309736376023059	0.0204603385214114	0.0192814241074075	0.01657468631594	0.0233476182470571	0.0139305958823828	0.0188637139099618	0.0175146788771565	0.0181494352420633	0.020655337051702	0.0170013443751402	0.0196795238897601	0.0166363861812421	0.0156726748411376	0.0160574516893241	0.0202993499268486	0.0236801738135857	0.0216067731736804	0.0156477639274358	0.0225586258309597	0.0179823918755701	0.0285288891479662	0.0237786055576586	0.0268874501638476	0.0198071524237526	0.019834309370534
cg00163217	0.667041594421918	0.444644730477633	0.488276593118056	0.542164584085793	0.649142215786233	0.124974075127164	0.132465848579523	0.919533836597283	0.672889139777236	0.765969439517913	0.550262486525101	0.922149032393043	0.872310129349776	0.427623280542382	0.602407017952818	0.218011576530046	0.681498623407138	0.832555479251565	0.452157888400392	0.65488058890721	0.67642769191468	0.909872158863989	0.529794087990042	0.776427416921319	0.616560732031579	0.543897700243642	0.429660665633375	0.4615484622135	0.39555487722621	0.341939968273386	0.356829992650382	0.593276752017228	0.876494672822347	0.440563439901758	0.667127262850837	0.830459988653223	0.760642740173056	0.269480136840902	0.884356186672362	0.583788903640534	0.910216619483129	0.780422812573073	0.799031913932264	0.93224294201993	0.892635584058198	0.927220142741127	0.87464853105748	0.889229289281905	0.925704155421762	0.210793778596149	0.79945801678279	0.948594167701567	0.94667926597891	0.939542457592496	0.682113092814936	0.667507804787991	0.341481946846638	0.362504936393729	0.520510568961559	0.767295595060424	0.807943005364055	0.752099522204196	0.758145454422165	0.848290222655634	0.722281864268036	0.850885395764467	0.601741661336664	0.863552072160991	0.885646606945576	0.718928064024532	0.713230840387314	0.624243434132972	0.848631554622052	0.478307098963882	0.48171708802093	0.316779602954917	0.610928790020023	0.676753610930948	0.562310586398294	0.84207414407787	0.840722120195326	0.325522461753398	0.401322491798913	0.867258638060865	0.309718408686662	0.601888658500539	0.790070648420715	0.664484017495399	0.622378957206168	0.626298722647727	0.828660897202434	0.851504237322211	0.368792291291519	0.922911098735483	0.57773858876007	0.329070246896555	0.599619835285	0.915664827497084	0.408007184823829	0.877766268619691
cg00310940	0.93302687824343	0.682643165442277	0.670536673321845	0.337425879505086	0.858253893504807	0.643834865782719	0.114919407101158	0.500302905182686	0.359368372272655	0.419188551578482	0.604615636321644	0.368721041537185	0.638370123705783	0.597737963168411	0.618294494670283	0.822512431217499	0.577318667043798	0.511428683179532	0.612626791278363	0.591149757700042	0.240074092142937	0.233353090267805	0.617367451978653	0.15617795393666	0.602838566342631	0.220107677797832	0.266272851155134	0.150219845359439	0.515516332496677	0.127548366776573	0.11932458748947	0.258527588200306	0.270263874603065	0.123689751541962	0.158720262233107	0.241631962751769	0.310123156177868	0.180808707686829	0.135592691312277	0.170371006009816	0.336516457782168	0.24358876873658	0.283206663409902	0.337923229071616	0.294843788671428	0.342904216476034	0.0845517856404729	0.469704373934693	0.15888698783896	0.113128563989875	0.244364390903052	0.248798510816158	0.186185740521517	0.237118153565823	0.681444419140741	0.417048489683423	0.777621293961077	0.211737410918498	0.741250416535586	0.5155056801759	0.587705830559676	0.569069636842151	0.465925506544954	0.593581850101978	0.715048143225615	0.21862025967213	0.191500640469849	0.268018204930618	0.319117866548393	0.417256079569241	0.463693534144597	0.623606262240201	0.558563150733831	0.5551171133529	0.614659358320043	0.835610908212786	0.734602608951312	0.618106939618603	0.533697645274305	0.503271696792941	0.4734080672347	0.103235090540172	0.618536758793829	0.537664490244999	0.649627355754301	0.743027561458753	0.312334124589805	0.301711205129419	0.682432989388371	0.550867195087409	0.593727381118868	0.546100745120758	0.214409385569823	0.123260439271562	0.540300081098052	0.268994188437461	0.839522173815809	0.728588939665192	0.233772975813636	0.797210523051881
cg00318766	0.0127660207211695	0.0136827484084597	0.0119036968341341	0.010671725878993	0.0129641258349809	0.0101930219908076	0.0111216176787663	0.00908114834995264	0.0106228658022727	0.0112418512956706	0.0107275609094286	0.010287637439857	0.0137653718433257	0.0104958156480091	0.00869329370265741	0.00864421372576927	0.0120860829540757	0.0137074354181551	0.00887611798888542	0.012503726157423	0.0114878208995999	0.0139721006791969	0.0120106385801865	0.0126262017651591	0.00871266380433831	0.0104621762114177	0.0105324340433795	0.0135360578881431	0.00779330678153282	0.0185935323435537	0.0113656863697108	0.0135657929605185	0.00834181847891519	0.00842342031817165	0.0128503489801609	0.00996978928756733	0.0115272376421188	0.0106891380984153	0.0107197119373608	0.0121010747529352	0.00876299591028987	0.012731204638845	0.00909410742255986	0.0114066454811505	0.0105626332703405	0.00985815836879917	0.018306392792869	0.0103201576685594	0.0112531455397724	0.0114547434018677	0.0124185796774731	0.0114812635769144	0.0141745765237747	0.013433112386828	0.00955009818829762	0.0129883691726148	0.0141409074951319	0.0113581631013026	0.0113623898121041	0.0112476951444376	0.0130133715377268	0.0105263157894737	0.074640088593577	0.0115597783056215	0.0141247421044279	0.0127731540781585	0.00988323542056738	0.0168498330890031	0.0117580611388143	0.0127559623828424	0.0127372121088084	0.0143655073634762	0.00930798195256515	0.0160296623759021	0.0189345829973138	0.0161669853600918	0.031508322264566	0.0106195713000634	0.0121006352049359	0.010285611354942	0.0118345300568062	0.00747707857538654	0.00990121271602262	0.0149929877164261	0.0104387360028599	0.0131458584206075	0.0112951289236395	0.0111944494957224	0.0109271584534325	0.00937485129059667	0.0105288770582879	0.00955561494228297	0.0100367864485502	0.0147481957722532	0.0106810228795662	0.015867778137165	0.0115037196416817	0.0116257238021404	0.0106479355997195	0.0121095177775203
cg00366880	0.800509903635606	0.357260033625976	0.335445115728966	0.523926215934344	0.580267286308198	0.409731611387198	0.0867153977028941	0.671387479901232	0.609729984956937	0.710007684052709	0.659410370734066	0.925652468346913	0.829483753555735	0.345970585157326	0.591706118702538	0.94674676849332	0.807972263175952	0.797740601740983	0.457991234820626	0.539596051961919	0.574095055995382	0.588949308436446	0.650274881641312	0.545120687322441	0.579191544735972	0.493964690024503	0.301169878967923	0.436285489277673	0.500832681276895	0.35652742023317	0.53126922082736	0.483545519236849	0.516259354539079	0.675922774205166	0.634939872641779	0.566430991459551	0.661485145784204	0.446932926278462	0.489129947608926	0.555250070738468	0.92660785191968	0.882618900007569	0.817616204764487	0.438601242595409	0.501529548332256	0.820636574002127	0.886875805860879	0.882792031206007	0.907533942901299	0.511985484347799	0.605583393535196	0.900122653992169	0.93166797999001	0.894858270325588	0.892345821166746	0.871771171878277	0.652421898437553	0.908809751361837	0.34885775768242	0.79136644261698	0.710045341810719	0.6231815900394	0.683610554302786	0.711454143205424	0.486522980873237	0.585387164711734	0.518828652502396	0.4555728709763	0.521753493415991	0.555835357213549	0.608881742861053	0.616354249364563	0.656173866423126	0.295639529428831	0.31573433933621	0.540574997535261	0.770045659881739	0.579575590886396	0.447759533038065	0.63332318783803	0.694689763314937	0.256903701068509	0.262449631473033	0.803909918857923	0.467108093697845	0.461563518724084	0.439809746321199	0.427359079692973	0.934568689246512	0.208456753820976	0.62377593491383	0.929729820433313	0.917347222280535	0.660368109416819	0.885586466332394	0.263224908023485	0.944671959973398	0.491228971744446	0.671166403698486	0.671730256994874
cg00375146	0.129562340564453	0.679601707264524	0.816162664459125	0.691690421511034	0.347175206135814	0.27673167512964	0.921978850800862	0.785910336632471	0.618138592545377	0.685214556708693	0.450561121992063	0.526419488870869	0.569476656124286	0.654731043911193	0.558791288169568	0.589227972422088	0.454474785176649	0.521995292664384	0.682153565508983	0.476129028645898	0.550708727987416	0.677381891956303	0.341013242712865	0.91398191110307	0.927805329228351	0.517511813978655	0.458129767653689	0.631030402448179	0.743726954897576	0.289749950302925	0.327514446985384	0.952354387161494	0.894968712238102	0.880723441518008	0.543018047206684	0.427521357292974	0.644691301528772	0.471713414175963	0.387455977624156	0.584759030175041	0.875387183565456	0.602447904345727	0.526676214094621	0.648731880134587	0.619262224877569	0.735964967002727	0.453888154247263	0.960394051744501	0.287382354734576	0.346277090807903	0.546632838213132	0.983670998567883	0.969910848734175	0.973705024327815	0.932108550717132	0.630593452520965	0.403973658282516	0.4741045854641	0.627007603137591	0.669205076820307	0.580343662376878	0.724168041137091	0.848805056290737	0.62200446298632	0.445077940195305	0.597446648118635	0.53905403604975	0.693019343316477	0.651896152290075	0.749640689390017	0.892350698295621	0.802474668580492	0.825970556027146	0.738020440710633	0.618086533591683	0.955352760563262	0.372128793760504	0.384085467509731	0.339512033392383	0.558456519334568	0.497517303647496	0.297779163934237	0.551435776448455	0.627110309342892	0.447457205888663	0.866960696558887	0.532483955294512	0.715000680037387	0.63719733109906	0.858510008990312	0.812143352477742	0.68677667391494	0.395755829829348	0.212979345893391	0.491697121105203	0.208119363928622	0.903440968124305	0.354663172429775	0.382094458518599	0.684774418459485
cg00410467	0.0162755976869466	0.0112101503086392	0.0146354263687699	0.012105834380615	0.0148801930128674	0.0116080023625993	0.00860968439503807	0.0117661937825819	0.0153812992868084	0.0150695363806788	0.0108586505482433	0.0134735831762865	0.0145970361378617	0.0148608720623837	0.0173823236696509	0.0123560853919742	0.0149739527172272	0.0153687769634722	0.0123031037197307	0.0133084645429989	0.0157985984581177	0.0159363300009847	0.012794008677567	0.0175901029688283	0.0164956725109847	0.0175150617078122	0.0114871369112864	0.0241342026953571	0.0128555483338222	0.0172402581448938	0.0173916673274181	0.0159218190880383	0.0115280227484017	0.0098760038908719	0.0158652818470137	0.0117619343527714	0.0151794936433197	0.0219734140709644	0.014019163580657	0.0167987107267898	0.0180070250805888	0.0163459187029707	0.021305793183303	0.0142299793645634	0.0163924985989468	0.0141879326224269	0.0156652536601944	0.00985299101125486	0.0105229013307587	0.0134060278997363	0.0159326803684541	0.0127448097420375	0.0147111249543479	0.0184327115869515	0.0133423194592702	0.0203978316798189	0.0167024320620033	0.0183368920657061	0.0145517457200895	0.0157500425676826	0.0220703285843696	0.0208645302984926	0.0232558139534884	0.0159680638722555	0.0379456706281834	0.0162068942857997	0.0153176045439004	0.0169862167676973	0.0170680406782707	0.0141277016785904	0.0167599177281699	0.0206515670187572	0.0153244774636032	0.0124061720137641	0.0159537274032419	0.0125543514364503	0.0156553145744699	0.0174603094063482	0.0144847418148909	0.0128626039602456	0.0170256479995979	0.0117022051540646	0.0115869927422615	0.0121972787196429	0.0110268591953762	0.0145595239241289	0.0116025739787904	0.0154398064924281	0.0127969527713885	0.41755233302953	0.016737535856675	0.0136096083684852	0.0151362615332396	0.0172797026420827	0.0228300824374577	0.0238620181652909	0.0156521135708895	0.0138741665899904	0.0199425389263942	0.0147915140245153
cg00417819	0.580014138006537	0.746119636605576	0.639437881141973	0.521488945930161	0.781821233429451	0.645558959234616	0.504194263876091	0.792635374236643	0.706119128876889	0.65327194794321	0.790115392525997	0.559780212378296	0.789674100606056	0.595772748446868	0.820531987793461	0.663510891297241	0.639516145008585	0.645938351123524	0.636277947212032	0.636037885532085	0.665921102069381	0.753341762467099	0.613887943243826	0.740088036478789	0.777535091396565	0.743702099655076	0.544774542637125	0.667989897272186	0.759856584809298	0.523772912687407	0.355673619898116	0.618385936035393	0.576255995248932	0.621938581946008	0.553299727910197	0.62803516340187	0.825537889276618	0.541251408064983	0.689157680870387	0.528269247307015	0.657512819136244	0.764311392977445	0.792482591668518	0.905551149365542	0.797496131197028	0.68216469813004	0.908971230170958	0.747305794281658	0.750995437458011	0.765721952337306	0.6975673883234	0.713990378373934	0.880646869507684	0.864092801934219	0.615747110637558	0.63259720004253	0.664357569195943	0.329829416861175	0.789836425181173	0.770771203322157	0.69761843271389	0.69384846116749	0.646752053877145	0.725967525976039	0.630251794671569	0.622669697466524	0.546157388050541	0.656141138134704	0.905201133050601	0.740937104937246	0.808832224668373	0.888696269730745	0.701543194141507	0.872280883732632	0.603570440538843	0.871864697707114	0.859054531770554	0.776786207835518	0.588457052377248	0.751503667446106	0.740476591011769	0.345382337619516	0.712802253128975	0.70958590964157	0.39625072091547	0.608302339090932	0.722030153612408	0.624950330383663	0.926443374589581	0.901737999238705	0.931302501942858	0.802897466403847	0.766242687467712	0.950320004219396	0.648974293578087	0.505181290398654	0.72830145155585	0.891433463926737	0.867307850705145	0.68445121955794
